Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_Push","PinSocket_1x02_P2.54mm_Vertical",164.417500,-67.047500,180.000000,bottom
"C1","1u","C_0402_1005Metric",123.392848,-70.330000,-90.000000,bottom
"C2","1u","C_0402_1005Metric",129.010799,-71.737712,90.000000,bottom
"C3","1u","C_0402_1005Metric",137.143052,-88.928106,90.000000,bottom
"C4","100n","C_0402_1005Metric",136.837889,-102.986664,-90.000000,bottom
"C5","10u","C_0603_1608Metric",131.762500,-84.137500,180.000000,bottom
"C6","1u","C_0402_1005Metric",133.887500,-91.587500,180.000000,bottom
"C7","100n","C_0402_1005Metric",146.374052,-95.992411,0.000000,bottom
"C8","100n","C_0402_1005Metric",146.376211,-91.586297,0.000000,bottom
"C9","100n","C_0402_1005Metric",133.431890,-95.984957,180.000000,bottom
"C10","1u","C_0402_1005Metric",143.668750,-84.611895,180.000000,bottom
"C11","22p","C_0402_1005Metric",142.939753,-106.977147,45.000000,bottom
"C12","22p","C_0402_1005Metric",139.264395,-107.135306,135.000000,bottom
"C13","100n","C_0402_1005Metric",141.610649,-87.556109,90.000000,bottom
"C14","100n","C_0402_1005Metric",140.589907,-87.553139,90.000000,bottom
"C15","100n","C_0402_1005Metric",138.730224,-102.124933,-90.000000,bottom
"C16","100n","C_0402_1005Metric",136.062094,-88.912770,90.000000,bottom
"D1","D_Small","D_SOD-123",20.709698,-23.119326,-90.000000,bottom
"D2","D_Small","D_SOD-123",42.862500,-19.843750,180.000000,bottom
"D3","D_Small","D_SOD-123",65.015301,-24.505674,90.000000,bottom
"D4","D_Small","D_SOD-123",84.065301,-24.505674,90.000000,bottom
"D5","D_Small","D_SOD-123",103.115301,-24.505674,90.000000,bottom
"D6","D_Small","D_SOD-123",122.165301,-24.505674,90.000000,bottom
"D7","D_Small","D_SOD-123",141.215301,-24.505674,90.000000,bottom
"D8","D_Small","D_SOD-123",160.265301,-24.505674,90.000000,bottom
"D9","D_Small","D_SOD-123",179.315301,-24.505674,90.000000,bottom
"D10","D_Small","D_SOD-123",198.365301,-24.505674,90.000000,bottom
