Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_Push,PinSocket_1x02_P2.54mm_Vertical,164.4175,-67.0475,180,bottom
C1,1u,C_0402_1005Metric,123.392848,-70.33,-90,bottom
C2,1u,C_0402_1005Metric,129.010799,-71.737712,90,bottom
C3,1u,C_0402_1005Metric,133.178703,-87.231068,90,bottom
C4,100n,C_0402_1005Metric,132.87354,-101.289626,-90,bottom
C5,10u,C_0603_1608Metric,131.939509,-84.246987,0,bottom
C6,1u,C_0402_1005Metric,131.415972,-91.194097,-90,bottom
C7,100n,C_0402_1005Metric,142.640565,-93.895012,0,bottom
C8,100n,C_0402_1005Metric,142.411862,-89.889259,0,bottom
C9,100n,C_0402_1005Metric,129.436315,-95.650657,180,bottom
C10,1u,C_0402_1005Metric,143.087726,-83.937947,180,bottom
C11,22p,C_0402_1005Metric,138.975404,-105.280109,45,bottom
C12,22p,C_0402_1005Metric,134.929631,-105.402991,135,bottom
C13,100n,C_0402_1005Metric,137.6463,-85.859071,90,bottom
C14,100n,C_0402_1005Metric,136.625558,-85.856101,90,bottom
C15,100n,C_0402_1005Metric,134.765875,-100.427895,-90,bottom
C16,100n,C_0402_1005Metric,132.097745,-87.215732,90,bottom
D1,D_Small,D_SOD-123,20.709698,-24.34375,-90,bottom
D2,D_Small,D_SOD-123,50.59375,-24.34375,-90,bottom
D3,D_Small,D_SOD-123,65.015301,-24.505674,90,bottom
D4,D_Small,D_SOD-123,84.065301,-24.505674,90,bottom
D5,D_Small,D_SOD-123,103.115301,-24.505674,90,bottom
D6,D_Small,D_SOD-123,122.165301,-24.505674,90,bottom
D7,D_Small,D_SOD-123,141.215301,-24.505674,90,bottom
D8,D_Small,D_SOD-123,160.265301,-24.505674,90,bottom
D9,D_Small,D_SOD-123,179.315301,-24.505674,90,bottom
D10,D_Small,D_SOD-123,198.365301,-24.505674,90,bottom
D11,D_Small,D_SOD-123,217.415301,-24.505674,90,bottom
D12,D_Small,D_SOD-123,236.465301,-24.505674,90,bottom
D13,D_Small,D_SOD-123,255.515301,-24.505674,90,bottom
D14,D_Small,D_SOD-123,264.1125,-24.505674,90,bottom
D15,D_Small,D_SOD-123,278.4,-27.51875,90,bottom
D17,D_Small,D_SOD-123,19.05,-42.8625,-90,bottom
D18,D_Small,D_SOD-123,55.490301,-43.555674,90,bottom
D19,D_Small,D_SOD-123,74.540301,-43.555674,90,bottom
D20,D_Small,D_SOD-123,93.590301,-43.555674,90,bottom
D21,D_Small,D_SOD-123,112.640301,-43.555674,90,bottom
D22,D_Small,D_SOD-123,131.690301,-43.555674,90,bottom
D23,D_Small,D_SOD-123,150.740301,-43.555674,90,bottom
D24,D_Small,D_SOD-123,169.790301,-43.555674,90,bottom
D25,D_Small,D_SOD-123,188.840301,-43.555674,90,bottom
D26,D_Small,D_SOD-123,207.890301,-43.555674,90,bottom
